seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr10	3108674	3108778	105	*	X00004	5214	3109712	3178997	69286	+	933	upstream	933	PFKP
chr10	6020277	6020367	91	*	X00007	3601	5994334	6020150	25817	-	126	upstream	126	IL15RA
chr10	6020277	6020367	91	*	X00008	3601	5994334	6020150	25817	-	126	upstream	126	IL15RA
chr10	7453757	7453816	60	*	X00019	57713	7200586	7453448	252863	-	308	upstream	308	SFMBT2
chr10	7453757	7453816	60	*	X00020	57713	7200586	7453448	252863	-	308	upstream	308	SFMBT2
chr10	7455292	7455361	70	*	X00021	57713	7200586	7453448	252863	-	1843	upstream	1843	SFMBT2
chr10	7455228	7455361	134	*	X00022	57713	7200586	7453448	252863	-	1779	upstream	1779	SFMBT2
chr10	7708671	7708805	135	*	X00023	80760	7601232	7708961	107730	-	0	inside	155	ITIH5
chr10	7708851	7708899	49	*	X00024	80760	7601232	7708961	107730	-	0	inside	61	ITIH5
chr10	8094831	8094947	117	*	X00036	2625	8096667	8117164	20498	+	1719	upstream	1719	GATA3
chr10	8095712	8095835	124	*	X00037	2625	8096667	8117164	20498	+	831	upstream	831	GATA3
chr10	8095712	8095835	124	*	X00037	399717	8092413	8095447	3035	-	264	upstream	264	GATA3-AS1
chr10	12390526	12390840	315	*	X00045	57118	12391583	12871733	480151	+	742	upstream	742	CAMK1D
chr10	12390526	12390840	315	*	X00046	57118	12391583	12871733	480151	+	742	upstream	742	CAMK1D
chr10	15761404	15761523	120	*	X00056	8516	15559088	15761770	202683	-	0	inside	246	ITGA8
chr10	15761404	15761523	120	*	X00057	8516	15559088	15761770	202683	-	0	inside	246	ITGA8
chr10	17270149	17270283	135	*	X00058	7431	17270258	17279592	9335	+	0	overlapStart	0	VIM
chr10	21462246	21462450	205	*	X00059	100128511	21462919	21463852	934	+	468	upstream	468	NEBL-AS1
chr10	22540804	22540877	74	*	X00061	100130992	22541001	22547477	6477	+	123	upstream	123	LOC100130992
chr10	22540743	22540765	23	*	X00062	100130992	22541001	22547477	6477	+	235	upstream	235	LOC100130992
chr10	22604928	22605077	150	*	X00064	100532731	22605312	22620414	15103	+	234	upstream	234	COMMD3-BMI1
chr10	22604928	22605077	150	*	X00064	23412	22605312	22609246	3935	+	234	upstream	234	COMMD3
chr10	22726744	22726865	122	*	X00070	100499489	22724354	22726858	2505	-	0	overlapStart	0	LOC100499489
chr10	23216427	23216561	135	*	X00071	219681	23216954	23326514	109561	+	392	upstream	392	ARMC3
chr10	23217165	23217300	136	*	X00072	219681	23216954	23326514	109561	+	0	inside	210	ARMC3
chr10	23479417	23479551	135	*	X00080	256297	23481460	23483181	1722	+	1908	upstream	1908	PTF1A
chr10	23480422	23480428	7	*	X00081	256297	23481460	23483181	1722	+	1031	upstream	1031	PTF1A
chr10	23481337	23481471	135	*	X00082	256297	23481460	23483181	1722	+	0	overlapStart	0	PTF1A
chr10	23982570	23982633	64	*	X00089	56243	23983675	24836772	853098	+	1041	upstream	1041	KIAA1217
chr10	25465232	25465456	225	*	X00093	100128811	25447001	25465205	18205	-	26	upstream	26	GPR158-AS1
chr10	26504462	26504553	92	*	X00099	2572	26505236	26593491	88256	+	682	upstream	682	GAD2
chr10	26726972	26727121	150	*	X00103	54518	26727266	26856732	129467	+	144	upstream	144	APBB1IP
chr10	26727362	26727586	225	*	X00104	54518	26727266	26856732	129467	+	0	inside	95	APBB1IP
chr10	28034540	28034639	100	*	X00115	283078	27961803	28034778	72976	-	0	inside	138	MKX
chr10	28035390	28035539	150	*	X00116	283078	27961803	28034778	72976	-	611	upstream	611	MKX
chr10	31609410	31609532	123	*	X00127	220930	31605457	31608024	2568	-	1385	upstream	1385	ZEB1-AS1
chr10	31609743	31609862	120	*	X00128	220930	31605457	31608024	2568	-	1718	upstream	1718	ZEB1-AS1
chr10	33624837	33624863	27	*	X00129	8829	33466419	33624006	157588	-	830	upstream	830	NRP1
chr10	33624458	33624863	406	*	X00130	8829	33466419	33624006	157588	-	451	upstream	451	NRP1
chr10	33625164	33625179	16	*	X00131	8829	33466419	33624006	157588	-	1157	upstream	1157	NRP1
chr10	33625164	33625373	210	*	X00132	8829	33466419	33624006	157588	-	1157	upstream	1157	NRP1
chr10	33625464	33625554	91	*	X00133	8829	33466419	33624006	157588	-	1457	upstream	1457	NRP1
chr10	33625819	33626073	255	*	X00134	8829	33466419	33624006	157588	-	1812	upstream	1812	NRP1
chr10	43762603	43762752	150	*	X00167	221002	43689984	43762367	72384	-	235	upstream	235	RASGEF1A
chr10	43763485	43763508	24	*	X00168	221002	43689984	43762367	72384	-	1117	upstream	1117	RASGEF1A
chr10	43763485	43763604	120	*	X00169	221002	43689984	43762367	72384	-	1117	upstream	1117	RASGEF1A
chr10	43763874	43763889	16	*	X00170	221002	43689984	43762367	72384	-	1506	upstream	1506	RASGEF1A
chr10	43763740	43763889	150	*	X00171	221002	43689984	43762367	72384	-	1372	upstream	1372	RASGEF1A
chr10	44788378	44788416	39	*	X00178	100130539	44788198	44790097	1900	+	0	inside	179	LINC02881
chr10	44880687	44880719	33	*	X00187	6387	44865601	44880545	14945	-	141	upstream	141	CXCL12
chr10	44881085	44881127	43	*	X00188	6387	44865601	44880545	14945	-	539	upstream	539	CXCL12
chr10	44880978	44881127	150	*	X00189	6387	44865601	44880545	14945	-	432	upstream	432	CXCL12
chr10	44881608	44881712	105	*	X00190	6387	44865601	44880545	14945	-	1062	upstream	1062	CXCL12
chr10	44881608	44881712	105	*	X00191	6387	44865601	44880545	14945	-	1062	upstream	1062	CXCL12
chr10	45868796	45868960	165	*	X00193	240	45869624	45941567	71944	+	663	upstream	663	ALOX5
chr10	45869861	45869920	60	*	X00194	240	45869624	45941567	71944	+	0	inside	236	ALOX5
chr10	45869861	45869920	60	*	X00195	240	45869624	45941567	71944	+	0	inside	236	ALOX5
chr10	46991843	46992451	609	*	X00198	9721	46993546	47000568	7023	+	1094	upstream	1094	GPRIN2
chr10	48439312	48439425	114	*	X00206	2662	48425788	48439138	13351	-	173	upstream	173	GDF10
chr10	48439291	48439425	135	*	X00207	2662	48425788	48439138	13351	-	152	upstream	152	GDF10
chr10	49864834	49864871	38	*	X00211	58504	49654068	49864310	210243	-	523	upstream	523	ARHGAP22
chr10	50604085	50604150	66	*	X00219	644168	50574161	50604062	29902	-	22	upstream	22	DRGX
chr10	50605156	50605260	105	*	X00220	644168	50574161	50604062	29902	-	1093	upstream	1093	DRGX
chr10	50816914	50817033	120	*	X00224	1103	50817141	50901939	84799	+	107	upstream	107	CHAT
chr10	50816914	50817033	120	*	X00224	6572	50818347	50820766	2420	+	1313	upstream	1313	SLC18A3
chr10	50817409	50817500	92	*	X00225	1103	50817141	50901939	84799	+	0	inside	267	CHAT
chr10	50817409	50817500	92	*	X00225	6572	50818347	50820766	2420	+	846	upstream	846	SLC18A3
chr10	50817538	50817684	147	*	X00226	6572	50818347	50820766	2420	+	662	upstream	662	SLC18A3
chr10	52750776	52750895	120	*	X00247	5592	52750911	54058110	1307200	+	15	upstream	15	PRKG1
chr10	54073412	54073458	47	*	X00252	22943	54074041	54077417	3377	+	582	upstream	582	DKK1
chr10	54074423	54074551	129	*	X00253	100506939	54056608	54073888	17281	-	534	upstream	534	PRKG1-AS1
chr10	54074984	54075006	23	*	X00254	100506939	54056608	54073888	17281	-	1095	upstream	1095	PRKG1-AS1
chr10	63213256	63213373	118	*	X00259	219623	63166401	63213208	46808	-	47	upstream	47	TMEM26
chr10	63214741	63214845	105	*	X00260	219623	63166401	63213208	46808	-	1532	upstream	1532	TMEM26
chr10	63660118	63660128	11	*	X00265	84159	63661013	63856707	195695	+	884	upstream	884	ARID5B
chr10	63660009	63660128	120	*	X00266	84159	63661013	63856707	195695	+	884	upstream	884	ARID5B
chr10	63660398	63660407	10	*	X00267	84159	63661013	63856707	195695	+	605	upstream	605	ARID5B
chr10	63660398	63660532	135	*	X00268	84159	63661013	63856707	195695	+	480	upstream	480	ARID5B
chr10	64578805	64578806	2	*	X00278	1959	64571756	64578927	7172	-	0	inside	120	EGR2
chr10	64578817	64578894	78	*	X00279	1959	64571756	64578927	7172	-	0	inside	32	EGR2
chr10	64578685	64578806	122	*	X00280	1959	64571756	64578927	7172	-	0	inside	120	EGR2
chr10	64578817	64578894	78	*	X00281	1959	64571756	64578927	7172	-	0	inside	32	EGR2
chr10	64578910	64579089	180	*	X00282	1959	64571756	64578927	7172	-	0	overlapStart	0	EGR2
chr10	64578910	64579089	180	*	X00283	1959	64571756	64578927	7172	-	0	overlapStart	0	EGR2
chr10	69991900	69992214	315	*	X00284	220202	69990352	69991870	1519	-	29	upstream	29	ATOH7
chr10	71333314	71333493	180	*	X00295	50674	71331791	71333210	1420	-	103	upstream	103	NEUROG3
chr10	72044015	72044119	105	*	X00302	64106	72014713	72043450	28738	-	564	upstream	564	NPFFR1
chr10	72044015	72044119	105	*	X00303	64106	72014713	72043450	28738	-	564	upstream	564	NPFFR1
chr10	72201550	72201669	120	*	X00307	4838	72191692	72201465	9774	-	84	upstream	84	NODAL
chr10	72432720	72432828	109	*	X00311	140766	72432559	72522195	89637	+	0	inside	160	ADAMTS14
chr10	72970286	72970420	135	*	X00316	219699	72972292	73062635	90344	+	1871	upstream	1871	UNC5B
chr10	72970706	72970825	120	*	X00317	219699	72972292	73062635	90344	+	1466	upstream	1466	UNC5B
chr10	72970991	72971110	120	*	X00318	219699	72972292	73062635	90344	+	1181	upstream	1181	UNC5B
chr10	72970991	72971110	120	*	X00319	219699	72972292	73062635	90344	+	1181	upstream	1181	UNC5B
chr10	73156786	73156903	118	*	X00322	64072	73156691	73575704	419014	+	0	inside	94	CDH23
chr10	73532811	73533080	270	*	X00330	64115	73507314	73533337	26024	-	0	inside	256	VSIR
chr10	73848576	73848680	105	*	X00338	9806	73818792	73848790	29999	-	0	inside	109	SPOCK2
chr10	73849045	73849164	120	*	X00339	9806	73818792	73848790	29999	-	254	upstream	254	SPOCK2
chr10	77054442	77054666	225	*	X00344	253264	77056141	77121436	65296	+	1474	upstream	1474	ZNF503-AS1
chr10	77055132	77055236	105	*	X00345	253264	77056141	77121436	65296	+	904	upstream	904	ZNF503-AS1
chr10	77160010	77160249	240	*	X00355	100131213	77161286	77168740	7455	+	1036	upstream	1036	ZNF503-AS2
chr10	77160565	77160729	165	*	X00356	100131213	77161286	77168740	7455	+	556	upstream	556	ZNF503-AS2
chr10	77160955	77161067	113	*	X00357	100131213	77161286	77168740	7455	+	218	upstream	218	ZNF503-AS2
chr10	77163208	77163659	452	*	X00358	84858	77157603	77161513	3911	-	1694	upstream	1694	ZNF503
chr10	79397237	79397307	71	*	X00381	3778	78629359	79397577	768219	-	0	inside	269	KCNMA1
